4343,1,Monday,4-5pm,Coach A,3,Attended,DHO3346
4343,3,Friday,4-5pm,Coach A,3,booked,SVD2236
4343,3,Saturday,2-3pm,Coach D,3,cancelled,ARD1996
4343,2,Monday,6-7pm,Coach C,3,cancelled,ZKY3258
4343,2,Wednesday,6-7pm,Coach C,4,cancelled,ADZ3242
4343,1,Friday,6-7pm,Coach C,4,cancelled,YUH5597
4343,1,Friday,5-6pm,Coach B,4,cancelled,XOC3401
4343,3,Wednesday,5-6pm,Coach B,4,cancelled,RQE2552
4343,3,Wednesday,4-5pm,Coach A,4,booked,QWQ3267
4343,4,Wednesday,4-5pm,Coach A,4,cancelled,UVK1536
4343,4,Wednesday,5-6pm,Coach B,4,booked,ICT5866
4343,4,Saturday,3-4pm,Coach D,4,cancelled,JAE0416
4343,4,Wednesday,6-7pm,Coach C,4,Attended,ASR9241
4343,1,Friday,4-5pm,Coach A,4,booked,TOH1283
4343,1,Saturday,2-3pm,Coach D,4,cancelled,HOK7816
4343,1,Saturday,3-4pm,Coach D,4,cancelled,FSB5999
4343,3,Saturday,3-4pm,Coach D,4,booked,HXK3849
4343,2,Saturday,3-4pm,Coach D,4,cancelled,GOM8959
9736,1,Monday,4-5pm,Coach A,1,booked,USE0217
9736,1,Monday,5-6pm,Coach B,2,Attended,EZG5965
9736,1,Monday,6-7pm,Coach C,1,booked,BKE7524
9736,1,Wednesday,4-5pm,Coach A,1,cancelled,KEQ9656
9736,1,Wednesday,5-6pm,Coach B,2,Attended,PUO8744
9736,1,Wednesday,6-7pm,Coach C,1,booked,LEZ2623
9736,1,Friday,4-5pm,Coach A,1,booked,IKV1510
9736,1,Friday,5-6pm,Coach B,1,booked,RYS6945
9736,1,Friday,6-7pm,Coach C,2,Attended,DWG9881
9736,1,Saturday,2-3pm,Coach D,1,booked,CNE8837
9736,1,Saturday,3-4pm,Coach D,2,Attended,EBB5280
9736,2,Monday,4-5pm,Coach A,1,cancelled,FID2648
9736,2,Monday,5-6pm,Coach B,2,Attended,GTN8005
9736,2,Monday,6-7pm,Coach C,1,booked,VQP5767
9736,2,Wednesday,4-5pm,Coach A,1,booked,OMP0671
9736,2,Wednesday,5-6pm,Coach B,1,booked,TJY4249
9736,2,Wednesday,6-7pm,Coach C,1,booked,NUC7601
9736,2,Friday,4-5pm,Coach A,1,booked,JGR6172
9736,2,Friday,5-6pm,Coach B,1,booked,FBS7938
9736,2,Friday,6-7pm,Coach C,2,Attended,LUK5303
9736,2,Saturday,2-3pm,Coach D,1,cancelled,ZTY3547
9736,2,Saturday,3-4pm,Coach D,1,booked,RHE8744
9736,3,Monday,4-5pm,Coach A,1,booked,RKC0381
9736,3,Monday,5-6pm,Coach B,1,booked,FUE9757
9736,3,Monday,6-7pm,Coach C,1,booked,QLE3701
9736,3,Wednesday,4-5pm,Coach A,1,booked,VPW9769
9736,3,Wednesday,5-6pm,Coach B,1,cancelled,QLK6992
9736,3,Wednesday,6-7pm,Coach C,1,booked,EJX0431
9736,3,Friday,4-5pm,Coach A,1,booked,ROG8372
9736,3,Friday,5-6pm,Coach B,1,booked,MUW0882
9736,3,Friday,6-7pm,Coach C,1,booked,ZRV3587
9736,3,Saturday,2-3pm,Coach D,1,booked,QRT1350
9736,3,Saturday,3-4pm,Coach D,1,booked,IVA3643
9736,4,Monday,4-5pm,Coach A,1,cancelled,WGR9313
9736,4,Monday,5-6pm,Coach B,1,booked,XMP8701
9736,4,Monday,6-7pm,Coach C,1,cancelled,DIG7663
9736,4,Wednesday,4-5pm,Coach A,1,booked,ENQ0134
9736,4,Wednesday,5-6pm,Coach B,1,cancelled,QSZ1575
9736,4,Wednesday,6-7pm,Coach C,1,booked,STA1797
9736,4,Friday,4-5pm,Coach A,1,booked,ZTY2672
9736,4,Friday,5-6pm,Coach B,1,booked,DLL0935
9736,4,Friday,6-7pm,Coach C,1,cancelled,YZS4238
9736,4,Saturday,2-3pm,Coach D,1,booked,WEJ0325
9736,4,Saturday,3-4pm,Coach D,1,booked,OCN3146
